"module name", "license", "repository", "version"
"@babel/plugin-transform-spread", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-spread", 7.8.3
"@babel/plugin-transform-sticky-regex", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-sticky-regex", 7.8.3
"@babel/plugin-transform-template-literals", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-template-literals", 7.8.3
"@babel/plugin-transform-typeof-symbol", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-typeof-symbol", 7.8.4
"@babel/plugin-transform-typescript", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-typescript", 7.9.4
"@babel/plugin-transform-unicode-regex", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-unicode-regex", 7.8.3
"@babel/preset-env", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-preset-env", 7.9.0
"@babel/preset-modules", "MIT", "", 7.9.5
"@babel/preset-react", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-preset-react", 7.9.1
"@babel/preset-typescript", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-preset-typescript", 7.9.4
"@babel/runtime", "MIT", "https://github.com/babel/babel", 7.9.0
"@babel/template", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-template", 7.9.2
"@babel/traverse", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-traverse", 7.9.5
"@babel/types", "MIT", "https://github.com/babel/babel/tree/master/packages/babel-types", 7.9.5
"@emotion/cache", "MIT", "https://github.com/emotion-js/emotion/tree/master/packages/cache", 10.0.29
"@cnakazawa/watch", "Apache-2.0", "https://github.com/mikeal/watch", 1.0.4
"@csstools/normalize.css", "CC0-1.0", "https://github.com/csstools/normalize.css", 10.1.0
"@emotion/core", "MIT", "https://github.com/emotion-js/emotion/tree/master/packages/core", 10.0.28
"@csstools/convert-colors", "CC0-1.0", "https://github.com/jonathantneal/convert-colors", 1.4.0
"@emotion/hash", "MIT", "https://github.com/emotion-js/emotion/tree/master/packages/hash", 0.8.0
"@emotion/css", "MIT", "https://github.com/emotion-js/emotion/tree/master/packages/css", 10.0.27
"@emotion/memoize", "MIT", "https://github.com/emotion-js/emotion/tree/master/packages/memoize", 0.7.4
"@emotion/serialize", "MIT", "https://github.com/emotion-js/emotion/tree/master/packages/serialize", 0.11.16
"@emotion/stylis", "MIT", "https://github.com/emotion-js/emotion/tree/master/packages/stylis", 0.8.5
"@emotion/sheet", "MIT", "https://github.com/emotion-js/emotion/tree/master/packages/sheet", 0.9.4
"@emotion/utils", "MIT", "https://github.com/emotion-js/emotion/tree/master/packages/serialize", 0.11.3
"@emotion/unitless", "MIT", "https://github.com/emotion-js/emotion/tree/master/packages/unitless", 0.7.5
"@emotion/weak-memoize", "MIT", "https://github.com/emotion-js/emotion/tree/master/packages/weak-memoize", 0.2.5
"@hapi/bourne", "BSD-3-Clause", "https://github.com/hapijs/bourne", 1.3.2
"@hapi/address", "BSD-3-Clause", "https://github.com/hapijs/address", 2.1.4
"@hapi/hoek", "BSD-3-Clause", "https://github.com/hapijs/hoek", 8.5.1
"@hapi/topo", "BSD-3-Clause", "https://github.com/hapijs/topo", 3.1.6
"@hapi/joi", "BSD-3-Clause", "https://github.com/hapijs/joi", 15.1.1
"@jest/console", "MIT", "https://github.com/facebook/jest", 24.9.0
"@mrmlnc/readdir-enhanced", "MIT", "https://github.com/bigstickcarpet/readdir-enhanced", 24.9.0 & 24.9.0 & 24.9.0 & 24.9.0 & 24.9.0 & 24.9.0 & 24.9.0 & 24.9.0 & 24.9.0
"@popperjs/core", "MIT", "https://github.com/popperjs/popper-core", 2.3.3
"@nodelib/fs.stat", "MIT", "https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.stat", 1.1.3
"@reduxjs/toolkit", "MIT", "https://github.com/reduxjs/redux-toolkit", 1.3.4
